"TZ1" "TZ10" "TZ100" "TZ101" "TZ102" "TZ103" "TZ104" "TZ105" "TZ106" "TZ107" "TZ108" "TZ109" "TZ110" "TZ111" "TZ112" "TZ114" "TZ115" "TZ116" "TZ15" "TZ17" "TZ18" "TZ19" "TZ2" "TZ20" "TZ22" "TZ23" "TZ29" "TZ3" "TZ31" "TZ32" "TZ34" "TZ35" "TZ36" "TZ37" "TZ38" "TZ39" "TZ40" "TZ41" "TZ42" "TZ43" "TZ44" "TZ46" "TZ48" "TZ49" "TZ52" "TZ54" "TZ55" "TZ57" "TZ58" "TZ59" "TZ60" "TZ61" "TZ62" "TZ63" "TZ64" "TZ65" "TZ66" "TZ67" "TZ68" "TZ69" "TZ70" "TZ71" "TZ72" "TZ73" "TZ75" "TZ76" "TZ77" "TZ78" "TZ79" "TZ80" "TZ81" "TZ82" "TZ83" "TZ84" "TZ86" "TZ87" "TZ88" "TZ89" "TZ9" "TZ91" "TZ93" "TZ95" "TZ96" "TZ98" "UG134" "UG135" "UG136" "UG137" "UG139" "UG140"
"BBMV" 0 0 0 1 1 0 0 0 0 1 1 2 2 1 0 0 1 0 0 0 0 2 1 0 0 0 10 0 0 0 1 10 0 1 3 0 2 6 3 1 0 1 5 0 4 0 0 1 0 0 0 2 2 4 5 1 3 0 15 0 4 1 1 1 1 1 2 0 5 0 4 1 0 7 2 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0
"BBWV-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 2 1 0 2 0 1 0 0 0 0 0 0 0 0 1 0 1 3 0 0 0 2 0 9 0 0 0 2 0 0 0 0 11 0 0 1 2 0 0 0 0 0 0 1 1 4 0 0 0 0 0 0
"BCMV" 0 5 22 1 2 2 0 1 14 2 1 1 2 1 0 0 0 3 0 1 1 0 1 1 1 1 0 2 0 2 0 47 12 1 10 6 1 1 6 2 2 4 7 3 0 5 51 4 0 2 16 1 1 1 1 0 0 1 0 1 0 1 6 3 6 2 0 0 2 1 1 1 2 3 0 0 0 0 1 2 0 1 1 2 2 0 0 0 1 0
"BgV" 0 1 29 2 0 1 0 8 1 2 1 1 2 0 4 1 0 5 0 0 0 2 1 0 0 0 3 1 0 6 0 11 37 1 1 4 1 9 4 4 2 2 6 3 3 13 1 2 1 3 3 1 6 2 2 8 0 1 0 4 1 1 30 3 1 1 1 1 3 2 1 0 1 1 4 12 0 5 0 1 0 2 1 4 6 74 0 1 0 2
"BSV" 0 2 13 1 2 1 0 1 0 9 1 2 1 1 2 1 0 2 0 0 1 0 2 4 1 1 1 2 1 1 1 7 15 0 8 2 6 1 0 5 2 6 5 1 9 2 4 2 0 16 48 0 3 1 2 3 0 1 0 1 2 0 6 0 2 1 1 0 0 1 2 95 1 3 2 0 0 0 0 1 0 1 2 3 4 37 0 0 0 0
"BYMV" 0 1 45 39 1 1 1 2 9 21 2 0 0 1 6 0 0 2 0 0 0 0 0 8 0 0 1 0 0 1 1 1 19 15 0 6 4 1 1 5 7 2 5 11 6 0 2 1 0 5 14 1 1 0 1 2 0 0 0 1 1 0 9 8 1 3 1 0 0 3 2 0 2 7 8 0 0 0 0 1 0 0 1 4 1 8 0 0 0 0
"CABMV" 0 0 8 11 0 0 0 0 1 8 16 0 2 2 0 4 2 0 0 0 0 0 1 1 1 16 5 6 1 0 6 1 10 11 1 0 1 1 8 4 7 2 1 4 2 0 0 1 0 0 0 1 2 2 1 3 0 1 1 1 1 0 3 14 2 1 0 0 1 2 1 0 1 0 3 1 0 0 2 0 0 0 2 2 1 0 1 1 0 0
"CamV" 0 1 8 17 0 2 0 3 1 2 5 1 2 2 3 0 0 0 0 0 1 1 0 2 2 3 3 1 1 1 1 8 7 13 0 5 2 4 1 1 6 1 7 6 3 6 6 0 1 4 16 1 1 1 2 6 1 0 1 1 1 1 4 12 0 2 0 1 0 0 7 2 2 8 2 1 0 0 0 1 0 2 0 4 4 38 1 0 1 0
"CatMV" 0 0 1 12 1 0 6 1 0 0 1 1 0 0 21 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 4 0 28 0 0 3 2 1 0 5 1 2 2 5 8 0 1 0 11 0 0 1 0 0 0 0 0 0 6 0 0 2 4 3 0 1 2 0 0 6 0 0 3 70 0 0 0 0 0 0 0 0 2 1 108 0 0 0 0
"CaYMV" 0 1 1 6 11 0 0 27 1 4 3 1 0 1 15 1 1 11 0 1 0 0 0 2 0 0 4 55 0 3 0 12 1 9 27 5 3 1 0 2 8 2 2 0 3 5 123 6 0 3 0 0 1 1 1 1 0 2 0 1 2 0 0 18 82 1 0 1 0 0 11 0 0 3 3 17 0 0 0 12 0 2 0 1 2 0 1 1 0 1
