"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "resource.range" "species.specificity.index" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.generality" "proportional.similarity" "d"
"TZ1" 15 0.172413793103448 0.604024223363399 -0.0263983851091067 0.97752808988764 0.958139534883721 0.837209302325581 0.29954318174482 0.0422439125013406 1 0 0 0.0111111111111111 0.00132113893209947 18.7120430999876 2.52177181808504 12.4506373962359 0.188546668317304 0.174116645381013 0.25400481002396
"TZ10" 34 0.390804597701149 0.285075216295089 -0.0210271995207327 0.696629213483146 0.876744186046512 0.616279069767442 0.171085500836956 0.0105462401081858 1 0 0 0.0111111111111111 0.00322326565296341 34.4288120735673 3.37346312548516 29.1794042202377 0.441879341122965 0.422860791826309 0.16339403377245
"TZ100" 61 0.701149425287356 1.35787826855127 0.00586685686149626 0.191011235955056 0.90749354005168 0.302325581395349 0.165668114854108 0.0527688102561061 1 0 0.000585823081429408 0.0111111111111111 0.0191241812341399 19.9843909585634 3.64202110592323 38.1689022147566 0.578012122342987 0.567462422634836 0.159429356999851
"TZ101" 64 0.735632183908046 1.38299945937749 0.00598436655277324 0.0786516853932584 0.913054968287526 0.267441860465116 0.172277390808518 0.0571954147450339 1 0 0.000146455770357352 0.0111111111111111 0.0159169757141088 22.241137078984 3.65708333946161 38.7481626604725 0.58678417341571 0.539072128120231 0.174066359294571
"TZ102" 42 0.482758620689655 0.352373706157356 -0.0154196736629201 0.629213483146067 0.946220930232558 0.523255813953488 0.22927440502444 0.0222753787138494 1 0 0 0.0111111111111111 0.005104428839057 30.6523971420142 3.28728094744127 26.7699756368752 0.405392074047079 0.48254576415496 0.185458474360315
"TZ103" 46 0.528735632183908 0.652235653561787 -0.00756009448778724 0.528089887640449 0.957364341085271 0.476744186046512 0.254077890214466 0.0361322506222332 1 0 0 0.0111111111111111 0.00795090072118792 22.2101136063734 3.19580959576642 24.4299440675 0.369955723110027 0.423109585178551 0.23716589099257
"TZ104" 12 0.137931034482759 0.0813817921497313 -0.0765515173208557 1 0.965116279069767 0.872093023255814 0.363852395747881 0.0111385981403868 1 0 0 0.0111111111111111 0.00157467953539532 9.55088788475962 2.19972559682032 9.02253734678082 0.136633113821005 0.154789272030651 0.230616556748869
"TZ105" 46 0.528735632183908 0.527930621705946 -0.0102623777890012 0.51685393258427 0.945598006644518 0.476744186046512 0.262074203345437 0.0417669199487342 1 0 0 0.0111111111111111 0.00859668050619214 21.7050952242123 3.1306606240705 22.8890956363927 0.346621830328355 0.441505417801232 0.226101171752151
"TZ106" 44 0.505747126436782 0.840710203754779 -0.00362022264193685 0.573033707865168 0.968719292499181 0.5 0.34010730177371 0.09179284454392 1 0 0 0.0111111111111111 0.0143716142743293 15.1324855973327 2.72045437673726 15.1872213975347 0.229988225050078 0.317239104507684 0.345884895956361
"TZ107" 42 0.482758620689655 0.544552820590132 -0.0108439804621397 0.606741573033708 0.925249169435216 0.523255813953488 0.215798435412282 0.0315770151553126 1 0 0 0.0111111111111111 0.00826177407808234 18.8599001578167 3.24882224935295 25.7599832074941 0.390097217926453 0.45316010086125 0.217746054018351
"TZ108" 61 0.701149425287356 0.777004365146877 -0.00365566614513316 0.224719101123595 0.896934460887949 0.302325581395349 0.177693678000152 0.0320371975992672 1 0 0 0.0111111111111111 0.0101133949300396 28.2081117092023 3.56006507547083 35.1654854811733 0.532529774679665 0.499869147180975 0.164100311492072
"TZ109" 47 0.540229885057471 0.335626969079338 -0.0141355964025673 0.50561797752809 0.928294573643411 0.465116279069767 0.18602115835904 0.0112648142753122 1 0 0 0.0111111111111111 0.00457034392919898 42.4472954182951 3.50972986914388 33.4392335949943 0.506388218110529 0.529936539051749 0.137257523804553
"TZ110" 22 0.252873563218391 0.167775559273319 -0.0378283836693946 0.910112359550562 0.909883720930233 0.755813953488372 0.209050103790065 0.00836461756970224 1 0 0 0.0111111111111111 0.00207046567974064 25.3913068269507 3.00083031704146 20.1022212124481 0.304418698799338 0.271647509578544 0.171043235964316
"TZ111" 41 0.471264367816092 1.15452816116095 0.00376897954051101 0.662921348314607 0.848837209302326 0.534883720930233 0.141369958323114 0.0291480991745474 1 0 0 0.0111111111111111 0.00298145083663686 68.997955923838 3.60123643699922 36.6435138416433 0.554912349497028 0.467080216505504 0.16701391043103
"TZ112" 56 0.64367816091954 1.78187188413156 0.0139619979309207 0.337078651685393 0.954563220637092 0.36046511627907 0.230832446068087 0.113648118526137 1 0 0.00161101347393087 0.0111111111111111 0.0237796490669536 15.2558380490488 3.39488755540144 29.8113011666749 0.451448494908348 0.543188736681887 0.219951875490377
"TZ114" 41 0.471264367816092 0.510665284042171 -0.0119349930721422 0.651685393258427 0.919896640826873 0.534883720930233 0.174109776123319 0.02679667132228 1 0 0 0.0111111111111111 0.00316557168779656 40.4594157727475 3.47870344631278 32.4176635749643 0.49091803633592 0.439456406382098 0.20959186036297
"TZ115" 56 0.64367816091954 0.930195904813933 -0.0012465016997512 0.370786516853933 0.868992248062015 0.36046511627907 0.15944805500166 0.037924387030267 1 0 0 0.0111111111111111 0.00852081479035915 27.4137057188589 3.62866728547722 37.6625896753026 0.570344760472005 0.519334777055916 0.171304860473631
"TZ116" 60 0.689655172413793 1.75491995177837 0.0125819991963061 0.247191011235955 0.884817902588855 0.313953488372093 0.157363821827615 0.0550718018667857 1 0 0.00776215582893966 0.0111111111111111 0.0242171834629066 16.8296754019531 3.67034735748341 39.2655426718304 0.594619135939396 0.585708709146644 0.139403863214734
"TZ15" 18 0.206896551724138 0.111248326224913 -0.0493750929875048 0.955056179775281 0.959302325581395 0.802325581395349 0.280307174656382 0.00857413069792571 1 0 0 0.0111111111111111 0.00163997676804997 23.6007217201393 2.69229115267663 14.7654671347926 0.223601374436897 0.235078756917837 0.167744965675091
"TZ17" 31 0.35632183908046 0.296371718828985 -0.0226976864893876 0.764044943820225 0.965116279069767 0.651162790697674 0.282526380269883 0.0258270847450147 1 0 0 0.0111111111111111 0.00370991515184487 22.0109044259471 2.96602430134862 19.4145794400284 0.29400537126763 0.383595021661283 0.247611830221419
"TZ18" 32 0.367816091954023 0.939736210285612 -0.00188324342857461 0.730337078651685 0.983606557377049 0.63953488372093 0.428420732728738 0.245477151871803 1 0 0 0.0111111111111111 0.00507685236424042 12.6055240107519 2.4843573969139 11.9934107752517 0.181622640790921 0.334845917932946 0.449561478797057
"TZ19" 25 0.28735632183908 0.182425043467696 -0.0327029982612922 0.853932584269663 0.888372093023256 0.720930232558139 0.210222495572225 0.00892657002508962 1 0 0 0.0111111111111111 0.00312939812076 18.4825698169504 3.04017451124691 20.9088917535011 0.316634542703942 0.349315244544045 0.166804551798519
"TZ2" 33 0.379310344827586 1.10121795944683 0.00306721089232805 0.719101123595506 0.893023255813953 0.627906976744186 0.177606920570369 0.0409092366563645 1 0 0 0.0111111111111111 0.00253311052516037 40.4650948892749 3.33552466389565 28.0931188030019 0.425429139439042 0.35187689379711 0.217824734318442
"TZ20" 45 0.517241379310345 1.56541522915705 0.0125647828701566 0.539325842696629 0.960723514211886 0.488372093023256 0.295105417866941 0.243473324805196 1 0 0.000146455770357352 0.0111111111111111 0.00666007918940598 18.2278869894901 3.04559181053429 21.0224688406707 0.318354501345537 0.425651049263862 0.384889671267286
