"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"BBMV" 45 0.5 1.22487312414371 0.00499718053652686 0.686046511627907 0.915355805243446 0.18524065968735 0.50561797752809 1 1 0.0156500454892096 0 0.0116137744767049 0.00447055958315364 24.7047821161438 3.43296492366512 30.9683254874609 0.329448036398467 0.627735998987785 0.297411748101842
"BBWV-1" 20 0.222222222222222 0.493993680396823 -0.0253003159801589 0.848837209302326 0.956077630234934 0.295384573147523 0.786516853932584 1 1 0.0156500454892096 0 0.0116137744767049 0.00262266187937475 11.4928277039808 2.65284212092547 14.1943233546803 0.202000851426139 0.287722620153087 0.348503213839517
"BCMV" 63 0.7 1.14083638026725 0.00223549809948009 0.290697674418605 0.947124917382683 0.255067894744727 0.303370786516854 1 1 0.0156500454892096 0 0.0116137744767049 0.00705937767416156 24.739776676582 3.26293829596868 26.1261909531317 0.579081688632583 0.529584674649272 0.138737725023881
"BgV" 69 0.766666666666667 1.58219890500599 0.00843766528994189 0.0697674418604651 0.955815365927725 0.249371892980767 0.235955056179775 1 1 0.0156500454892096 0.00424728645587541 0.0116137744767049 0.00767660786827059 25.1759980144566 3.34647906759565 28.4025539117942 0.482143960997685 0.575727142910702 0.201601066840347
"BSV" 64 0.711111111111111 1.41147405862779 0.00642928216605915 0.232558139534884 0.967711413364873 0.30494426082312 0.292134831460674 1 1 0.0156500454892096 0.000943841434638981 0.0116137744767049 0.00750947282485176 22.3887022306208 3.07681851021063 21.6892882623932 0.502414302108205 0.439647505004433 0.250735596608719
"BYMV" 55 0.611111111111111 1.22855668363386 0.00415557606607016 0.453488372093023 0.933083645443196 0.218007310166749 0.393258426966292 1 1 0.0156500454892096 0 0.0116137744767049 0.00754997778235737 19.3386162339261 3.32926080037361 27.9176973225868 0.468153670177099 0.565898973947701 0.216219885408788
"CABMV" 56 0.622222222222222 1.29335671604587 0.0052385127865334 0.441860465116279 0.873595505617977 0.170870232144251 0.382022471910112 1 1 0.0156500454892096 0 0.0116137744767049 0.00584729420042167 26.1913581456799 3.55523692882597 34.9961105729045 0.379651784085282 0.709380248540211 0.252031754082513
"CamV" 67 0.744444444444444 1.20181885123721 0.00301222166025688 0.151162790697674 0.931992903607333 0.179008373232177 0.258426966292135 1 1 0.0156500454892096 0 0.0116137744767049 0.00663495287065236 28.6733918826292 3.66276939283366 38.9691143576979 0.594882865366653 0.78991406690373 0.109434763679781
"CatMV" 38 0.422222222222222 0.965768717699207 -0.000900823218441922 0.744186046511628 0.976799833541407 0.397972021097892 0.584269662921348 1 1.03488372093023 0.00233907470508527 0 0.0114112086428089 0.00732027281189779 11.0786564766436 2.44211604103597 11.4973438719548 0.356510773370168 0.233054145729963 0.311985951291974
"CaYMV" 57 0.633333333333333 2.08768361677091 0.0190821687152791 0.406976744186047 0.963186261076094 0.303281604748647 0.370786516853933 1 1 0.0156500454892096 0.0856536101934875 0.0116137744767049 0.00902206286995465 16.2503728532128 2.93741878085964 18.8670833287453 0.477499526535845 0.382440678174581 0.277161357054796
"CaYSV" 2 0.0222222222222222 0.0265527950310559 -0.486723602484472 0.988372093023256 0.98876404494382 0.703123049310652 0.98876404494382 1 1.17441860465116 0.00630550024244385 0 0.0106009453072248 0.000141234223039353 268435505.000009 0.693147180559945 2 0.00727969348659004 0.0405405193278503 0.437985339042963
"CeMV" 42 0.466666666666667 0.553607083186181 -0.0106284027812814 0.720930232558139 0.948100588550027 0.230771299859436 0.539325842696629 1 1.01162790697674 0.0145467743712757 0 0.0115462525320729 0.00458641645271482 23.3034490392859 3.25091104078254 25.8138466748347 0.400401180451833 0.52325337502365 0.227489213842485
"CHPV" 48 0.533333333333333 1.26352118503591 0.00549002468824822 0.558139534883721 0.957463884430176 0.258423048527472 0.471910112359551 1 1 0.0156500454892096 0 0.0116137744767049 0.0061028503384556 19.9674554697974 3.14268990564008 23.16609774057 0.363325136768266 0.469582816601224 0.303493211031286
"CMBV" 2 0.0222222222222222 0.0695652173913043 -0.465217391304348 0.976744186046512 0.99625468164794 0.787900067809321 0.98876404494382 1 1.32558139534884 0.000770828257363079 0 0.00972316002700878 0.00027879487070039 1.59181590415142 0.562335144618808 1.75476535060332 0.00587484035759898 0.035569549305988 0.520440255126406
"CMV" 60 0.666666666666667 1.18642030732537 0.00310700512208946 0.325581395348837 0.948189762796504 0.236287357068777 0.337078651685393 1 1 0.0156500454892096 0 0.0116137744767049 0.00728529777295221 22.4330964645993 3.30891897183104 27.3555373755219 0.561636929976523 0.554503845848037 0.158178264315201
